accession	accession_version	strain	date	region	country	division	location	length	host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution
AF164554	AF164554.1	AF164554	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164555	AF164555.1	AF164555	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164556	AF164556.1	AF164556	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164557	AF164557.1	AF164557	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AF164558	AF164558.1	AF164558	XXXX-XX-XX					693		2000-03-26	2000-03-26		Saeed,M.F.,Wang,H.,Nunes,M.,Vasconcelos,P.F.,Weaver,S.C.,Shope,R.E.,Watts,D.M.,Tesh,R.B.,Barrett,A.D.,Barrett,A.D.T.	Saeed et al.	University of Texas Medical Branch, Microbiology & Immunology
AY117135	AY117135.3	AY117135	XXXX-XX-XX	South America	Brazil	Arinos	Minas Gerais	754	Platyrrhini	2002-07-02	2005-06-01		Nunes,M.R.T.,Rodrigues,S.G.,Martins,L.C.,Cruz,A.C.R.,Do Socorro Da Silva Azevedo,R.,Vasconcelos,P.F.C.,Travassos Da Rosa,A.P.A.	Nunes et al.	WHO Collaborating Center for Arbovirus Reference and Research, Instituto Evandro Chagas, Department of Arbovirus
AY237111	AY237111.1	AY237111	XXXX-XX-XX					754		2004-01-01	2004-01-01		Aquino,V.H.,Moreli,M.L.,Figueiredo,L.T.M.	Aquino et al.	Faculdade de Medicina de Ribeirao Preto- USP, Virologia
AY704559	AY704559.1	AY704559	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704560	AY704560.1	AY704560	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704561	AY704561.1	AY704561	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704562	AY704562.1	AY704562	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704563	AY704563.1	AY704563	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704564	AY704564.1	AY704564	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704565	AY704565.1	AY704565	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704566	AY704566.1	AY704566	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704567	AY704567.1	AY704567	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY704568	AY704568.1	AY704568	XXXX-XX-XX	South America	Brazil	Belem-Pa		721		2004-09-21	2004-09-21		Nunes,M.R.T.,Rodrigues,S.G.,Cruz,A.C.R.,Araujo,G.C.B.,Travassos da Rosa,A.P.A.,Vasconcelos,P.F.C.	Nunes et al.	University of Texas Medical Branch at Galveston, Pathology
AY993909	AY993909.1	BeAn 206119	XXXX-XX-XX					721		2005-04-24	2007-05-14		Nunes,M.R.,Martins,L.C.,Rodrigues,S.G.,Chiang,J.O.,Azevedo Rdo,S.,da Rosa,A.P.,Vasconcelos,P.F.,Nunes,M.R.T.,Vascomcelos,P.F.C.	Nunes et al.	Evandro Chagas, Arbovirus
AY993910	AY993910.1	BeAn 208402	XXXX-XX-XX					721		2005-04-24	2007-05-14		Nunes,M.R.,Martins,L.C.,Rodrigues,S.G.,Chiang,J.O.,Azevedo Rdo,S.,da Rosa,A.P.,Vasconcelos,P.F.,Nunes,M.R.T.,Vascomcelos,P.F.C.	Nunes et al.	Evandro Chagas, Arbovirus
AY993911	AY993911.1	BeAn 208819	XXXX-XX-XX					721		2005-04-24	2007-05-14		Nunes,M.R.,Martins,L.C.,Rodrigues,S.G.,Chiang,J.O.,Azevedo Rdo,S.,da Rosa,A.P.,Vasconcelos,P.F.,Nunes,M.R.T.,Vascomcelos,P.F.C.	Nunes et al.	Evandro Chagas, Arbovirus
AY993912	AY993912.1	BeAn 208823	XXXX-XX-XX					721		2005-04-24	2007-05-14		Nunes,M.R.,Martins,L.C.,Rodrigues,S.G.,Chiang,J.O.,Azevedo Rdo,S.,da Rosa,A.P.,Vasconcelos,P.F.,Nunes,M.R.T.,Vascomcelos,P.F.C.	Nunes et al.	Evandro Chagas, Arbovirus
EF467368	EF467368.1	EF467368	XXXX-XX-XX	South America	Brazil			696	Homo sapiens	2007-03-28	2007-06-04		Azevedo,R.S.,Nunes,M.R.,Chiang,J.O.,Bensabath,G.,Vasconcelos,H.B.,Pinto,A.Y.,Martins,L.C.,Monteiro,H.A.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.T.,Vasconcelos,P.F.C.	Azevedo et al.	Instituto Evandro Chagas, Arbovirology and Hemorrhagic Fevers
EF467369	EF467369.1	EF467369	XXXX-XX-XX	South America	Brazil			696	Homo sapiens	2007-03-28	2007-06-04		Azevedo,R.S.,Nunes,M.R.,Chiang,J.O.,Bensabath,G.,Vasconcelos,H.B.,Pinto,A.Y.,Martins,L.C.,Monteiro,H.A.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.T.,Vasconcelos,P.F.C.	Azevedo et al.	Instituto Evandro Chagas, Arbovirology and Hemorrhagic Fevers
EF467370	EF467370.1	EF467370	XXXX-XX-XX	South America	Brazil			696	Homo sapiens	2007-03-28	2007-06-04		Azevedo,R.S.,Nunes,M.R.,Chiang,J.O.,Bensabath,G.,Vasconcelos,H.B.,Pinto,A.Y.,Martins,L.C.,Monteiro,H.A.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.T.,Vasconcelos,P.F.C.	Azevedo et al.	Instituto Evandro Chagas, Arbovirology and Hemorrhagic Fevers
EF467371	EF467371.1	EF467371	XXXX-XX-XX	South America	Brazil			696	Homo sapiens	2007-03-28	2007-06-04		Azevedo,R.S.,Nunes,M.R.,Chiang,J.O.,Bensabath,G.,Vasconcelos,H.B.,Pinto,A.Y.,Martins,L.C.,Monteiro,H.A.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.T.,Vasconcelos,P.F.C.	Azevedo et al.	Instituto Evandro Chagas, Arbovirology and Hemorrhagic Fevers
EF467372	EF467372.1	EF467372	XXXX-XX-XX	South America	Brazil			696	Homo sapiens	2007-03-28	2007-06-04		Azevedo,R.S.,Nunes,M.R.,Chiang,J.O.,Bensabath,G.,Vasconcelos,H.B.,Pinto,A.Y.,Martins,L.C.,Monteiro,H.A.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.T.,Vasconcelos,P.F.C.	Azevedo et al.	Instituto Evandro Chagas, Arbovirology and Hemorrhagic Fevers
EU561644	EU561644.1	EU561644	XXXX-XX-XX	South America	Brazil			529		2008-07-01	2016-07-26		Bernardes-Terzian,A.C.,de-Moraes-Bronzoni,R.V.,Drumond,B.P.,Da Silva-Nunes,M.,da-Silva,N.S.,Urbano-Ferreira,M.,Speranca,M.A.,Nogueira,M.L.,Terzian,A.C.,Bronzoni,R.V.M.,Silva-Nunes,M.,Silva,N.S.,Ferreira,M.U.	Bernardes-Terzian et al.	FAMERP, Departamento de Deoncas Infecciosas e Parasitarias
HM107840	HM107840.1	AMLq13	2005-XX-XX	South America	Brazil			297	Homo sapiens	2011-05-01	2012-04-12		Bastos Mde,S.,Figueiredo,L.T.,Naveca,F.G.,Monte,R.L.,Lessa,N.,Pinto de Figueiredo,R.M.,Gimaque,J.B.,Pivoto Joao,G.,Ramasawmy,R.,Mourao,M.P.,Bastos,M.S.,Oliveira,C.M.	Bastos Mde et al.	Fiocruz Amazonia, Biodiversity
HM107841	HM107841.1	AMLq14	2006-XX-XX	South America	Brazil			300	Homo sapiens	2011-05-01	2012-04-12		Bastos Mde,S.,Figueiredo,L.T.,Naveca,F.G.,Monte,R.L.,Lessa,N.,Pinto de Figueiredo,R.M.,Gimaque,J.B.,Pivoto Joao,G.,Ramasawmy,R.,Mourao,M.P.,Bastos,M.S.,Oliveira,C.M.	Bastos Mde et al.	Fiocruz Amazonia, Biodiversity
HM107842	HM107842.1	AMLq16	2007-XX-XX	South America	Brazil			299	Homo sapiens	2011-05-01	2012-04-12		Bastos Mde,S.,Figueiredo,L.T.,Naveca,F.G.,Monte,R.L.,Lessa,N.,Pinto de Figueiredo,R.M.,Gimaque,J.B.,Pivoto Joao,G.,Ramasawmy,R.,Mourao,M.P.,Bastos,M.S.,Oliveira,C.M.	Bastos Mde et al.	Fiocruz Amazonia, Biodiversity
HM470101	HM470101.1	HM470101	1996-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470102	HM470102.1	HM470102	1996-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470103	HM470103.1	HM470103	1980-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470104	HM470104.1	HM470104	1980-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470105	HM470105.1	HM470105	1988-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470106	HM470106.1	HM470106	1988-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470107	HM470107.1	HM470107	1960-XX-XX	South America	Brazil			696	Ochlerotatus serratus	2011-06-18	2011-06-18		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.,Nunes,M.R.T.,Casseb,S.M.M.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470108	HM470108.1	HM470108	1961-XX-XX	South America	Brazil			696	Homo sapiens	2011-06-18	2011-06-18		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.,Nunes,M.R.T.,Casseb,S.M.M.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470109	HM470109.1	HM470109	1961-XX-XX	South America	Brazil			696	Homo sapiens	2011-06-18	2011-06-18		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.,Nunes,M.R.T.,Casseb,S.M.M.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470110	HM470110.1	HM470110	1967-XX-XX	South America	Brazil			696	Homo sapiens	2011-06-18	2011-06-18		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.,Nunes,M.R.T.,Casseb,S.M.M.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470111	HM470111.1	HM470111	1968-XX-XX	South America	Brazil			721	Culex quinquefasciatus	2011-06-30	2011-06-30		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470112	HM470112.1	HM470112	1973-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470113	HM470113.1	HM470113	1975-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470114	HM470114.1	HM470114	1978-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-18	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.,Nunes,M.R.T.,Casseb,S.M.M.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470115	HM470115.1	HM470115	1978-XX-XX	South America	Brazil			721	Homo sapiens	2011-06-30	2011-06-30		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470116	HM470116.1	HM470116	1978-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470117	HM470117.1	HM470117	1979-XX-XX	South America	Brazil			693	Culicoides paraensis	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470118	HM470118.1	HM470118	1979-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
HM470119	HM470119.1	HM470119	1980-XX-XX	South America	Brazil			693	Homo sapiens	2011-06-30	2016-07-25		Vasconcelos,P.F.C.,Vasconcelos,H.B.,Nunes,M.R.T.,Casseb,S.M.M.,Carvalho,V.L.,Silva,E.V.P.,Silva,M.O.,Casseb,L.M.N.	Vasconcelos et al.	Evandro Chagas Institute, Department of Arbovirology and Hemorrhagic Fevers
