accession	accession_version	strain	date	region	country	division	location	length	host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution
HQ830417	HQ830417.1	AR366927	1979-XX-XX					720	Culicoides paraensis	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830418	HQ830418.1	H385591	1980-XX-XX					780	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830419	HQ830419.1	H389865	1980-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830420	HQ830420.1	H390242	1980-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830421	HQ830421.1	H472433	1988-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830422	HQ830422.1	H472435	1988-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830423	HQ830423.1	H498913	1988-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830424	HQ830424.1	H505768	1991-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830425	HQ830425.1	H521086	1993-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830426	HQ830426.1	H532314	1994-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830427	HQ830427.1	H532422	1994-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830428	HQ830428.1	H532490	1994-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830429	HQ830429.1	H532500	1994-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830430	HQ830430.1	H541140	1994-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830431	HQ830431.1	H543100	1996-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830432	HQ830432.1	H543629	1996-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830433	HQ830433.1	H543760	1996-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830434	HQ830434.1	H543857	1996-XX-XX					760	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830435	HQ830435.1	H669314	2003-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830436	HQ830436.1	AN622998	2000-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830437	HQ830437.1	H669315	2003-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830438	HQ830438.1	H682426	2004-XX-XX					780	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830439	HQ830439.1	H682431	2004-XX-XX					780	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830440	HQ830440.1	H708139	2006-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830441	HQ830441.1	H707287	2006-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
HQ830442	HQ830442.1	H708717	2006-XX-XX					720	Homo sapiens	2011-05-10	2016-07-25		Vasconcelos,H.B.,Nunes,M.R.,Casseb,L.M.,Carvalho,V.L.,Pinto da Silva,E.V.,Silva,M.,Casseb,S.M.,Vasconcelos,P.F.,Vasconcelos,P.F.C.	Vasconcelos et al.	Evandro Chagas Institute, Arbovirology and Hemorrhagic Fevers
KC759122	KC759122.1	KC759122	XXXX-XX-XX	South America	Trinidad and Tobago	Trinidad		6811	Homo sapiens	2013-03-17	2013-03-17		Dugan,V.G.,Halpin,R.A.,Ghedin,E.,Fedorova,N.,Overton,L.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Gorchakov,R.,Forrester,N.,Weaver,S.,Wentworth,D.E.,Tesh,R.	Dugan et al.	J. Craig Venter Institute
KC759125	KC759125.1	KC759125	XXXX-XX-XX	South America	Peru			6693	Homo sapiens	2013-03-17	2013-03-17		Dugan,V.G.,Halpin,R.A.,Ghedin,E.,Fedorova,N.,Overton,L.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Gorchakov,R.,Forrester,N.,Weaver,S.,Wentworth,D.E.,Tesh,R.	Dugan et al.	J. Craig Venter Institute
KC759128	KC759128.1	KC759128	XXXX-XX-XX	North America	Panama			6569	Homo sapiens	2013-03-17	2013-03-17		Dugan,V.G.,Halpin,R.A.,Ghedin,E.,Fedorova,N.,Overton,L.,Tsitrin,T.,Stockwell,T.,Amedeo,P.,Appalla,L.,Bishop,B.,Edworthy,P.,Gupta,N.,Hoover,J.,Katzel,D.,Li,K.,Schobel,S.,Shrivastava,S.,Thovarai,V.,Wang,S.,Gorchakov,R.,Forrester,N.,Weaver,S.,Wentworth,D.E.,Tesh,R.	Dugan et al.	J. Craig Venter Institute
KP026179	KP026179.1	KP026179	1955-XX-XX	South America	Trinidad and Tobago	Trinidad	Sangre Grande	6852		2015-03-10	2015-03-10		Acrani,G.O.,Tilston-Lunel,N.L.,Spiegel,M.,Weidmann,M.,Dilcher,M.,Andrade da Silva,D.E.,Nunes,M.R.,Elliott,R.M.,Olszanski Acrani,G.,Nunes,M.R.T.	Acrani et al.	University Medical Center Goettingen, Department of Virology
KP052850	KP052850.1	KP052850	1960-XX-XX	South America	Brazil			6852	Bradypus tridactylus	2015-01-19	2015-03-04		Acrani,G.O.,Tilston-Lunel,N.L.,Spiegel,M.,Weidmann,M.,Dilcher,M.,Andrade da Silva,D.E.,Nunes,M.R.,Elliott,R.M.	Acrani et al.	University of Glasgow, MRC-Centre for Virus Research
KP691603	KP691603.1	BeH759024	2009-07-24	South America	Brazil			6852	Homo sapiens	2015-03-15	2015-03-15		Tilston-Lunel,N.L.,Hughes,J.,Acrani,G.O.,da Silva,D.E.,Azevedo,R.S.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.,Elliott,R.M.,da Silva,D.E.A.,Azevedo,R.S.S.,Rodrigues,S.,Vasconcelos,P.F.C.,Nunes,M.R.T.	Tilston-Lunel et al.	University of Glasgow, MRC-Centre for Virus Research
KP691606	KP691606.1	BeH759021	2009-07-23	South America	Brazil			6852	Homo sapiens	2015-03-15	2015-03-15		Tilston-Lunel,N.L.,Hughes,J.,Acrani,G.O.,da Silva,D.E.,Azevedo,R.S.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.,Elliott,R.M.,da Silva,D.E.A.,Azevedo,R.S.S.,Vasconcelos,P.F.C.,Nunes,M.R.T.	Tilston-Lunel et al.	University of Glasgow, MRC-Centre for Virus Research
KP691609	KP691609.1	BeH759022	2009-07-24	South America	Brazil			6852	Homo sapiens	2015-03-15	2015-03-15		Tilston-Lunel,N.L.,Hughes,J.,Acrani,G.O.,da Silva,D.E.,Azevedo,R.S.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.,Elliott,R.M.,da Silva,D.E.A.,Azevedo,R.S.S.,Vasconcelos,P.F.C.,Nunes,M.R.T.	Tilston-Lunel et al.	University of Glasgow, MRC-Centre for Virus Research
KP691612	KP691612.1	BeH759025	2009-07-24	South America	Brazil			6852	Homo sapiens	2015-03-15	2015-03-15		Tilston-Lunel,N.L.,Hughes,J.,Acrani,G.O.,da Silva,D.E.,Azevedo,R.S.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.,Elliott,R.M.,da Silva,D.E.A.,Azevedo,R.S.S.,Vasconcelos,P.F.C.,Nunes,M.R.T.	Tilston-Lunel et al.	University of Glasgow, MRC-Centre for Virus Research
KP691615	KP691615.1	BeH759040	2009-07-23	South America	Brazil			6852	Homo sapiens	2015-03-15	2015-03-15		Tilston-Lunel,N.L.,Hughes,J.,Acrani,G.O.,da Silva,D.E.,Azevedo,R.S.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.,Elliott,R.M.,da Silva,D.E.A.,Azevedo,R.S.S.,Vasconcelos,P.F.C.,Nunes,M.R.T.	Tilston-Lunel et al.	University of Glasgow, MRC-Centre for Virus Research
KP691618	KP691618.1	BeH759529	2009-06-17	South America	Brazil			6852	Homo sapiens	2015-03-15	2015-03-15		Tilston-Lunel,N.L.,Hughes,J.,Acrani,G.O.,da Silva,D.E.,Azevedo,R.S.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.,Elliott,R.M.,da Silva,D.E.A.,Azevedo,R.S.S.,Vasconcelos,P.F.C.,Nunes,M.R.T.	Tilston-Lunel et al.	University of Glasgow, MRC-Centre for Virus Research
KP691621	KP691621.1	BeH759620	2009-06-23	South America	Brazil			6852	Homo sapiens	2015-03-15	2015-03-15		Tilston-Lunel,N.L.,Hughes,J.,Acrani,G.O.,da Silva,D.E.,Azevedo,R.S.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.,Elliott,R.M.,da Silva,D.E.A.,Azevedo,R.S.S.,Vasconcelos,P.F.C.,Nunes,M.R.T.	Tilston-Lunel et al.	University of Glasgow, MRC-Centre for Virus Research
KP691630	KP691630.1	BeH759146	2009-08-20	South America	Brazil			6852	Homo sapiens	2015-03-15	2015-03-15		Tilston-Lunel,N.L.,Hughes,J.,Acrani,G.O.,da Silva,D.E.,Azevedo,R.S.,Rodrigues,S.G.,Vasconcelos,P.F.,Nunes,M.R.,Elliott,R.M.,da Silva,D.E.A.,Azevedo,R.S.S.,Vasconcelos,P.F.C.,Nunes,M.R.T.	Tilston-Lunel et al.	University of Glasgow, MRC-Centre for Virus Research
KP795072	KP795072.1	KP795072	1992-04-XX	South America	Peru			6843	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795075	KP795075.1	KP795075	1989-XX-XX	North America	Panama			6835	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795078	KP795078.1	KP795078	1989-08-XX	North America	Panama			6836	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795081	KP795081.1	KP795081	1989-XX-XX	North America	Panama			6857	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795084	KP795084.1	KP795084	2008-03-XX	South America	Peru			6830	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795087	KP795087.1	KP795087	1995-06-XX	South America	Peru			6839	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795090	KP795090.1	KP795090	1997-08-XX	South America	Peru			6903	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795093	KP795093.1	KP795093	1998-04-XX	South America	Peru			6838	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795096	KP795096.1	KP795096	1994-02-XX	South America	Peru			6815	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795099	KP795099.1	KP795099	2000-05-XX	South America	Peru			6837	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
KP795102	KP795102.1	KP795102	1999-10-XX	North America	Panama			6843	Homo sapiens	2016-09-01	2020-05-12		Travassos da Rosa,J.F.S.,Silva,S.P.,Lima,C.P.S.,Oliveira,L.F.,Vasconcelos,J.M.,Da Silva,D.E.A.,Travassos da Rosa,A.P.A.,Guzman,H.,Tesh,R.B.,Vasconcelos,P.F.C.,Cardoso,J.F.,Vianez-Junior,J.L.S.G.,Nunes,M.R.T.	Travassos da Rosa et al.	Evandro Chagas Institute, Center for Technological Innovation
MF620129	MF620129.1	MF620129	1961-01-13					6852		2017-09-16	2017-09-16		Wise,E.L.,Lewandowski,K.S.,Liberty,L.,Alexander,S.,Baker,N.P.,Russell,J.E.,Pullan,S.T.,Logue,C.H.	Wise et al.	Public Health England, NIS
MF926354	MF926354.1	MF926354	2016-04-01	South America	Ecuador			6852	Homo sapiens	2017-10-16	2017-10-16		Wise,E.L.,Pullan,S.T.,Marquez,S.,Paz,V.,Mosquera,J.D.,Mena,S.,Jackson,S.K.,Fejer,G.,Trueba,G.,Logue,C.H.	Wise et al.	Public Health England, NIS, Research
MG747505	MG747505.1	BeH 543100	1996-XX-XX	South America	Brazil			6852	Homo sapiens	2018-12-18	2018-12-18		Nunes,M.R.,de Souza,W.M.,Savji,N.,Figueiredo,M.L.,Cardoso,J.F.,da Silva,S.P.,da Silva de Lima,C.P.,Vasconcelos,H.B.,Rodrigues,S.G.,Ian Lipkin,W.,Vasconcelos,P.F.,Palacios,G.,Nunes,M.R.T.,de Lima,C.P.S.,Lipkin,W.I.,Vasconcelos,P.F.C.	Nunes et al.	University of Sao Paulo, Virology Research Center
